Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,1/3,A-xAG,Ast,Att,Att.1,Att.2,Att.3,Cmp,Cmp%,Cmp%.1,Cmp%.2,Cmp%.3,Cmp.1,Cmp.2,Cmp.3,CrsPA,KP,PPA,PrgDist,PrgP,TotDist,xA,xAG,Att 3rd,Att Pen,CPA,Carries,Def 3rd,Def Pen,Dis,Live,Mid 3rd,Mis,PrgC,PrgR,Rec,Succ,Succ%,Tkld,Tkld%,Touches,Blocks,Clr,Err,Int,Lost,Pass,Tkl,Tkl%,Tkl+Int,Tkl.1,TklW,Club
Josip Stanišić,hr CRO,DF,23.0,14.0,3,10,5,50.0,0.71,0.36,0.3,0.6,16.4,0.0,0,0,0.8,0.8,0.08,2.2,2.2,Matches,88.0,-0.7,1,1077.0,593.0,349.0,93.0,961.0,89.2,95.1,90.5,67.7,564.0,316.0,63.0,4.0,11.0,20.0,4167.0,92.0,14733.0,1.7,1.7,282.0,21.0,4.0,729.0,307.0,55.0,5.0,1205.0,628.0,14.0,49.0,63.0,877.0,12.0,60.0,6.0,30.0,1205.0,18.0,26.0,0.0,9,11.0,15.0,38.0,66.7,47.0,22.0,20,Leverkusen
Nadiem Amiri,de GER,MF,26.0,1.0,0,3,2,66.7,3.14,2.09,0.0,0.0,21.7,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,8.0,0.0,0,100.0,72.0,19.0,1.0,92.0,92.0,97.2,89.5,100.0,70.0,17.0,1.0,0.0,1.0,2.0,238.0,6.0,1039.0,0.1,0.0,48.0,2.0,1.0,57.0,9.0,2.0,0.0,116.0,62.0,2.0,5.0,6.0,96.0,1.0,16.7,4.0,66.7,116.0,0.0,1.0,0.0,0,3.0,0.0,4.0,0.0,4.0,0.0,2,Leverkusen
Nathan Tella,ng NGA,"DF,MF",24.0,9.1,5,21,11,52.4,2.31,1.21,0.24,0.45,15.1,0.0,0,0,3.5,3.5,0.17,1.5,1.5,Matches,9.0,-1.2,2,351.0,195.0,107.0,23.0,279.0,79.5,89.7,80.4,34.8,175.0,86.0,8.0,5.0,14.0,18.0,979.0,28.0,3946.0,2.9,3.2,279.0,60.0,16.0,296.0,56.0,7.0,15.0,482.0,152.0,18.0,35.0,114.0,340.0,7.0,16.3,30.0,69.8,482.0,10.0,8.0,0.0,3,5.0,10.0,13.0,50.0,16.0,5.0,8,Leverkusen
Noah Mbamba,be BEL,MF,18.0,0.2,0,1,0,0.0,5.63,0.0,0.0,,26.7,0.0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,4.0,0.4,1,20.0,11.0,7.0,0.0,19.0,95.0,100.0,100.0,,11.0,7.0,0.0,1.0,1.0,1.0,85.0,2.0,259.0,0.5,0.6,16.0,0.0,1.0,19.0,0.0,0.0,2.0,27.0,11.0,1.0,1.0,1.0,24.0,1.0,33.3,2.0,66.7,27.0,0.0,0.0,0.0,1,0.0,0.0,0.0,,1.0,0.0,0,Leverkusen
Odilon Kossonou,ci CIV,DF,22.0,20.1,1,5,1,20.0,0.25,0.05,0.2,1.0,15.1,0.0,0,0,0.6,0.6,0.12,0.4,0.4,Matches,155.0,-0.7,0,1428.0,733.0,535.0,105.0,1274.0,89.2,92.8,92.9,71.4,680.0,497.0,75.0,0.0,10.0,16.0,6199.0,141.0,19913.0,1.5,0.7,237.0,9.0,4.0,953.0,404.0,67.0,15.0,1600.0,976.0,12.0,48.0,23.0,1154.0,23.0,57.5,17.0,42.5,1600.0,27.0,43.0,1.0,27,11.0,24.0,30.0,57.7,57.0,15.0,20,Leverkusen
Patrik Schick,cz CZE,FW,27.0,11.8,7,39,12,30.8,3.3,1.02,0.15,0.5,12.7,0.0,1,1,6.0,5.3,0.13,1.0,0.7,Matches,8.0,-1.0,0,231.0,155.0,50.0,4.0,184.0,79.7,83.2,84.0,75.0,129.0,42.0,3.0,0.0,8.0,5.0,317.0,17.0,2218.0,1.6,1.0,208.0,90.0,5.0,191.0,15.0,7.0,17.0,349.0,132.0,23.0,7.0,88.0,281.0,8.0,32.0,14.0,56.0,350.0,2.0,7.0,0.0,1,4.0,2.0,6.0,20.0,7.0,1.0,4,Leverkusen
Piero Hincapié,ec ECU,DF,21.0,16.5,1,18,6,33.3,1.09,0.36,0.06,0.17,14.2,0.0,0,0,1.9,1.9,0.11,-0.9,-0.9,Matches,99.0,1.5,2,1435.0,788.0,509.0,91.0,1307.0,91.1,96.2,92.1,57.1,758.0,469.0,52.0,0.0,6.0,9.0,6533.0,102.0,19443.0,0.9,0.5,237.0,25.0,1.0,994.0,472.0,100.0,4.0,1597.0,895.0,11.0,34.0,50.0,1237.0,1.0,16.7,5.0,83.3,1597.0,18.0,43.0,0.0,13,4.0,11.0,35.0,76.5,48.0,13.0,22,Leverkusen
Robert Andrich,de GER,"MF,DF",28.0,18.8,4,23,9,39.1,1.22,0.48,0.17,0.44,20.0,2.0,0,0,1.7,1.7,0.07,2.3,2.3,Matches,117.0,0.2,2,1494.0,789.0,542.0,105.0,1346.0,90.1,94.9,89.9,70.5,749.0,487.0,74.0,3.0,22.0,19.0,6451.0,97.0,20529.0,2.2,1.8,281.0,16.0,1.0,885.0,319.0,53.0,7.0,1638.0,1049.0,13.0,20.0,14.0,1235.0,7.0,58.3,4.0,33.3,1638.0,15.0,17.0,0.0,20,11.0,11.0,30.0,54.2,50.0,13.0,18,Leverkusen
Victor Boniface,ng NGA,FW,22.0,17.2,14,76,30,39.5,4.42,1.75,0.13,0.33,16.0,0.0,4,4,15.4,12.3,0.16,-1.4,-2.3,Matches,13.0,4.3,8,385.0,209.0,103.0,24.0,278.0,72.2,77.5,84.5,54.2,162.0,87.0,13.0,0.0,22.0,13.0,732.0,34.0,3892.0,3.3,3.7,392.0,137.0,28.0,389.0,26.0,14.0,30.0,642.0,236.0,58.0,50.0,158.0,528.0,46.0,49.5,42.0,45.2,646.0,6.0,13.0,0.0,0,3.0,5.0,6.0,25.0,6.0,1.0,4,Leverkusen
Álex Grimaldo,es ESP,DF,27.0,30.9,10,71,23,32.4,2.3,0.74,0.14,0.43,21.7,18.0,0,0,5.7,5.7,0.08,4.3,4.3,Matches,79.0,3.9,13,2148.0,1208.0,606.0,200.0,1762.0,82.0,92.4,82.5,44.0,1116.0,500.0,88.0,22.0,78.0,71.0,6698.0,162.0,24881.0,11.1,9.1,1112.0,106.0,15.0,1346.0,429.0,60.0,18.0,2465.0,940.0,50.0,77.0,261.0,1681.0,20.0,41.7,23.0,47.9,2465.0,32.0,41.0,0.0,22,25.0,25.0,45.0,54.5,67.0,30.0,24,Leverkusen
Aleksandar Pavlovic,de GER,MF,19.0,13.6,2,8,2,25.0,0.59,0.15,0.25,1.0,16.0,0.0,0,0,1.2,1.2,0.15,0.8,0.8,Matches,95.0,1.0,2,971.0,452.0,388.0,98.0,897.0,92.4,95.1,95.4,81.6,430.0,370.0,80.0,1.0,11.0,12.0,4023.0,105.0,15356.0,1.8,1.0,179.0,10.0,3.0,701.0,195.0,25.0,14.0,1082.0,714.0,12.0,14.0,14.0,823.0,5.0,45.5,5.0,45.5,1082.0,13.0,12.0,0.0,17,16.0,10.0,28.0,51.5,45.0,17.0,16,Bayern Munich
Alphonso Davies,ca CAN,DF,22.0,22.9,2,13,4,30.8,0.57,0.17,0.15,0.5,22.2,0.0,0,0,1.0,1.0,0.08,1.0,1.0,Matches,88.0,2.1,5,1642.0,929.0,589.0,52.0,1440.0,87.7,91.2,91.0,51.9,847.0,536.0,27.0,7.0,37.0,31.0,5332.0,117.0,20701.0,3.3,2.9,558.0,64.0,35.0,1225.0,547.0,60.0,24.0,1934.0,871.0,40.0,121.0,139.0,1339.0,70.0,57.4,47.0,38.5,1934.0,30.0,49.0,1.0,26,23.0,26.0,47.0,56.6,73.0,30.0,24,Bayern Munich
Bouna Sarr,sn SEN,DF,31.0,1.2,0,1,1,100.0,0.85,0.85,0.0,0.0,5.0,0.0,0,0,0.2,0.2,0.22,-0.2,-0.2,Matches,9.0,0.0,0,104.0,58.0,40.0,4.0,92.0,88.5,91.4,87.5,75.0,53.0,35.0,3.0,1.0,0.0,1.0,286.0,2.0,1371.0,0.1,0.0,17.0,2.0,1.0,58.0,19.0,2.0,0.0,116.0,80.0,2.0,3.0,4.0,80.0,1.0,25.0,2.0,50.0,116.0,3.0,1.0,0.0,0,0.0,3.0,2.0,100.0,2.0,2.0,0,Bayern Munich
Bryan Zaragoza,es ESP,"FW,MF",22.0,2.0,0,7,4,57.1,3.44,1.97,0.0,0.0,15.4,0.0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches,3.0,-0.2,0,82.0,41.0,25.0,12.0,60.0,73.2,85.4,76.0,50.0,35.0,19.0,6.0,2.0,4.0,6.0,250.0,9.0,995.0,0.4,0.2,65.0,15.0,6.0,78.0,8.0,0.0,4.0,117.0,46.0,3.0,14.0,28.0,96.0,8.0,50.0,8.0,50.0,117.0,0.0,0.0,0.0,2,0.0,0.0,4.0,100.0,6.0,3.0,4,Bayern Munich
Dayot Upamecano,fr FRA,DF,24.0,19.6,1,11,4,36.4,0.56,0.2,0.09,0.25,10.5,0.0,0,0,1.7,1.7,0.15,-0.7,-0.7,Matches,148.0,-0.5,0,1813.0,570.0,1008.0,204.0,1678.0,92.6,94.4,94.4,88.2,538.0,952.0,180.0,0.0,6.0,2.0,9994.0,137.0,32907.0,0.9,0.5,106.0,17.0,0.0,1350.0,671.0,140.0,4.0,1981.0,1219.0,9.0,28.0,10.0,1519.0,6.0,60.0,4.0,40.0,1981.0,19.0,56.0,3.0,19,14.0,12.0,34.0,51.7,53.0,15.0,21,Bayern Munich
Eric Dier,eng ENG,DF,29.0,13.0,0,9,3,33.3,0.69,0.23,0.0,0.0,10.3,0.0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches,61.0,-0.1,0,1143.0,352.0,639.0,134.0,1042.0,91.2,92.9,95.6,76.1,327.0,611.0,102.0,1.0,2.0,1.0,8102.0,53.0,20714.0,0.4,0.1,47.0,12.0,0.0,797.0,538.0,140.0,0.0,1249.0,669.0,2.0,8.0,1.0,945.0,1.0,100.0,0.0,0.0,1249.0,20.0,48.0,1.0,10,1.0,8.0,11.0,83.3,21.0,5.0,8,Bayern Munich
Eric Maxim Choupo-Moting,cm CMR,"MF,FW",34.0,8.0,2,26,11,42.3,3.26,1.38,0.08,0.18,12.5,0.0,0,0,4.5,4.5,0.17,-2.5,-2.5,Matches,12.0,0.2,2,282.0,166.0,73.0,13.0,232.0,82.3,91.0,79.5,76.9,151.0,58.0,10.0,2.0,16.0,8.0,675.0,21.0,3095.0,1.4,1.8,201.0,55.0,13.0,219.0,55.0,10.0,18.0,402.0,152.0,20.0,23.0,71.0,287.0,23.0,59.0,13.0,33.3,402.0,5.0,7.0,0.0,7,8.0,5.0,17.0,42.9,24.0,6.0,12,Bayern Munich
Frans Krätzig,de GER,DF,20.0,0.6,0,2,2,100.0,3.21,3.21,0.0,0.0,19.4,0.0,0,0,0.3,0.3,0.13,-0.3,-0.3,Matches,3.0,-0.3,0,50.0,26.0,20.0,3.0,45.0,90.0,92.3,90.0,66.7,24.0,18.0,2.0,0.0,2.0,1.0,183.0,7.0,705.0,0.1,0.3,17.0,1.0,0.0,38.0,20.0,4.0,2.0,60.0,23.0,1.0,0.0,7.0,42.0,0.0,0.0,1.0,100.0,60.0,0.0,0.0,0.0,0,1.0,0.0,2.0,50.0,2.0,1.0,0,Bayern Munich
